estimator,estimate,se,truth,bias,note
Naive OLS (LPM),-0.31630948251130964,0.16804876851636455,-3.0001951328585976,2.683885650347288,controls for X only
Naive logit (AME),-0.31300462405117085,0.1665556803307303,-3.0001951328585976,2.6871905088074266,controls for X only
DML (X only),,,-3.0001951328585976,,econml unavailable: No module named 'econml'
2SLS: randomized spread arm,-2.655472355551808,0.30046851387601237,-3.0001951328585976,0.3447227773067896,"first-stage F = 11,856"
2SLS: analyst leniency (LOO),-3.192689796502009,0.3920284749510487,-3.0001951328585976,-0.19249466364341128,"first-stage F = 5,812"
2SLS: algorithm v2 cutover,0.5520345857567008,1.4826431291900148,-3.0001951328585976,3.5522297186152985,first-stage F = 291
2SLS: mortgage-rate shifter (INVALID),3.450492871908864,1.9451732427946846,-3.0001951328585976,6.4506880047674615,first-stage F = 187
2SLS: all valid IVs,-2.779567009148707,0.23437413337014673,-3.0001951328585976,0.22062812370989082,Wooldridge over-id p = 0.045
2SLS: valid + rate (J-test),-2.7423498177105614,0.23379545784324804,-3.0001951328585976,0.2578453151480362,Wooldridge over-id p = 0.006
Control-function logit (2SRI) AME,-2.6555561867352684,0.2086750375468778,-3.0001951328585976,0.34463894612332924,residual coef = 0.344 (endogeneity test)
